,county_name,perc_csec,perc_prenat_1tri,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,beds_per_1000,population_White,population_Black,population_Native,population_Asian,population_OtherRace,ADI_STATERNK_INT_mean,program_perc_prenat_1tri_investment_pct,whetherinvestment_in_prog_perc_prenat_1tri,program_perc_csec_investment_pct,whetherinvestment_in_prog_perc_csec,program_perc_smoker_investment_pct,whetherinvestment_in_prog_perc_smoker,program_perc_no_healthins_investment_pct,whetherinvestment_in_prog_perc_no_healthins
0,Potter,35.9,77.8,27.7,145.7,135.1,81.7,29.4,75.71931034482746,21.0,33.0,8.0,36.0,1.5,97.09319748276896,0.34162421336529,0.17380881030866,0.41953850764159,0.29967036260113,8.222222222222221,0.0,0.0,0.6834942054191996,1.0,0.0,0.0,0.3165057945808004,1.0
1,Wyoming,32.4,71.2,16.3,83.4,108.6,95.1,37.2,75.71931034482746,24.0,45.0,11.0,29.0,0.4,93.1014107393456,1.80589408375803,0.16987960706108,0.43577812246103,0.32498707437772,5.318181818181818,0.40449438202247184,1.0,0.5425421623139162,1.0,0.0,0.0,0.0,0.0
2,Lehigh,29.9,73.9,19.8,70.9,104.0,105.2,49.3,102.8,18.0,45.0,6.0,32.0,4.7,76.15193636378486,7.26878242926133,0.32885244652064,3.33180885179317,6.02061316825376,4.940366972477064,0.3119239228314685,1.0,0.0,0.0,0.0,0.0,0.6880760771685315,1.0
3,Indiana,24.0,65.7,9.5,41.8,128.1,98.0,38.7,34.7,21.0,37.0,8.0,39.0,2.0,94.0838000071037,2.26016125404023,0.0651172702840199,0.92821708913962,0.4558208919881999,7.158730158730159,0.0,0.0,0.7121484756635322,1.0,0.0,0.0,0.0,0.0
4,Schuylkill,32.1,67.6,20.9,88.7,114.6,90.6,36.6,34.5,17.0,45.0,7.0,34.0,1.7,93.04611265720224,2.98939655476098,0.16486419840067,0.42131961813506,1.26818614154366,7.559322033898305,0.0,0.0,0.8373340277618113,1.0,0.0,0.0,0.0,0.0
5,Pike,33.2,68.1,9.6,48.3,105.2,102.7,42.2,25.7,19.0,42.0,10.0,35.0,0.0,86.15343154868846,6.1588214157384105,0.07725476104922,1.26122888968738,2.199065756378,3.95,0.0,0.0,0.7594905769062927,1.0,0.0,0.0,0.0,0.0
6,Allegheny,29.7,86.9,10.8,46.1,75.7,105.7,58.0,157.7,18.0,45.0,6.0,30.0,3.8,79.03371690277254,12.99569920714391,0.11794349874423,3.92324233818677,0.8208440716361,5.867154811715481,0.10236514709767523,1.0,0.0,0.0,0.0,0.0,0.8976348529023247,1.0
7,Tioga,33.1,77.9,19.6,89.9,116.7,83.1,34.5,12.3,21.0,33.0,8.0,36.0,0.6,96.86449618489168,0.83417159400377,0.0785102676709399,0.59128045339679,0.3508427586545299,6.571428571428571,0.0,0.0,0.44569938604362647,1.0,0.0,0.0,0.5543006139563736,1.0
8,Philadelphia,29.0,61.0,26.4,73.9,72.1,83.3,52.4,454.0,21.0,67.0,12.0,34.0,2.8,39.33068653096271,41.35815232202214,0.33227296840845,7.415219809159599,7.27067632566165,6.2962633451957295,0.0,0.0,0.9763634941824981,1.0,0.0,0.0,0.0,0.0
9,Lycoming,32.5,78.9,18.1,77.4,108.4,89.7,35.2,49.0,21.0,33.0,8.0,36.0,2.3,91.14143877067728,4.76169593207851,0.14471906958794,0.76218709982984,0.37539249565842,6.111111111111111,0.0,0.0,0.589186881266356,1.0,0.0,0.0,0.41081311873364407,1.0
10,McKean,32.8,77.0,22.3,94.8,119.7,73.3,24.7,13.0,27.0,35.0,10.0,41.0,0.0,94.21272031398551,2.39633358523683,0.13651544330952,0.41929743302211,0.97998586090051,8.636363636363637,0.0,0.0,0.5596282614036767,1.0,0.0,0.0,0.44037173859632334,1.0
11,Northumberland,28.8,70.1,24.5,104.6,115.0,87.9,34.4,33.9,15.0,31.0,13.0,34.0,0.7,93.7008132932898,2.4694740995681403,0.13372207729574,0.36609158866212,1.02812547953613,7.473684210526316,0.0,0.0,0.6543981697393403,1.0,0.0,0.0,0.0,0.0
12,Lackawanna,35.2,75.1,16.9,60.6,92.2,98.3,49.4,46.6,24.0,45.0,11.0,29.0,3.1,89.22593047268298,2.81687460149789,0.06709110115054,2.95962162522244,1.08582902713145,6.412121212121212,0.0,0.0,0.751963640288579,1.0,0.0,0.0,0.0,0.0
13,Erie,36.4,80.3,19.9,74.6,100.5,93.1,40.2,112.0,20.0,43.0,8.0,29.0,3.4,85.60831624063577,7.148423428390779,0.24591429390617,1.83057277078141,1.32918697573204,6.888888888888889,0.0,0.0,0.8150390662748704,1.0,0.0,0.0,0.0,0.0
14,Mifflin,23.4,62.6,23.0,135.1,153.9,101.9,44.0,30.3,19.0,37.0,7.0,34.0,2.7,96.34682431408216,0.57601940275882,0.25119643127828,0.35947075510513,0.54786807856384,7.566666666666666,0.0,0.0,0.9954670067073654,1.0,0.0,0.0,0.0,0.0
15,Elk,30.7,85.1,18.5,85.0,152.0,106.9,31.6,75.71931034482746,27.0,35.0,10.0,41.0,1.2,97.23044186587758,0.64501113807893,0.0897695913821099,0.46879675499551,0.05984639425474,7.76,0.0,0.0,0.29734421009647094,1.0,0.0,0.0,0.7026557899035291,1.0
16,Blair,25.4,79.4,20.8,90.4,108.7,89.9,32.9,57.6,19.0,37.0,7.0,34.0,3.4,95.1826605167558,1.8204824686721897,0.1453120535532,0.59022817257847,0.2040899628556199,7.333333333333333,0.22253943650709354,1.0,0.0,0.0,0.0,0.0,0.7774605634929065,1.0
17,Venango,30.2,75.7,25.5,102.9,123.9,79.5,34.7,29.9,26.0,33.0,8.0,35.0,3.1,96.12501217018792,1.12355174763898,0.01168338039139,0.3524486418070199,0.31739850063284,8.25,0.0,0.0,0.6800016633961512,1.0,0.0,0.0,0.0,0.0
18,Forest,36.8,78.1,17.935333333333322,76.4,105.7,82.3,41.27799999999998,75.71931034482746,27.0,35.0,10.0,41.0,0.0,73.86648122392211,21.62726008344923,0.13908205841446,0.09735744089012,1.7385257301808,8.5,0.0,0.0,0.5674586600831427,1.0,0.0,0.0,0.43254133991685717,1.0
19,Clarion,31.7,76.0,11.5,56.6,108.8,99.7,36.3,18.2,27.0,35.0,10.0,41.0,1.7,96.0758936660368,1.4909533300546098,0.13201149276525,0.37273833251365,0.09577304377086,7.52,0.26957360574302214,1.0,0.0,0.0,0.0,0.0,0.7304263942569779,1.0
20,Snyder,26.1,62.8,11.2,70.3,127.5,100.4,39.6,24.6,15.0,31.0,13.0,34.0,0.0,96.168298230001,0.95421734401265,0.05685751013546,0.68970631859982,0.54385444477405,5.392857142857143,0.0,0.0,0.7240444859891356,1.0,0.0,0.0,0.0,0.0
21,Columbia,28.1,75.0,9.1,33.0,102.8,89.4,36.8,29.0,15.0,31.0,13.0,34.0,2.6,94.72396390885456,1.70668297904878,0.06117143294081,1.15155222511087,0.66371004740786,6.14,0.24019198957912233,1.0,0.0,0.0,0.7598080104208776,1.0,0.0,0.0
22,Centre,24.7,76.6,2.8,13.7,65.1,93.5,49.4,38.9,15.0,31.0,13.0,34.0,1.6,87.27197653207119,3.44438692501109,0.06470936252033,6.25030813982152,0.4135236404871,3.980769230769231,0.0,0.0,0.0,0.0,0.0198525958668439,1.0,0.0,0.0
23,Wayne,32.3,79.0,12.9,63.4,109.6,99.9,48.2,10.4,19.0,42.0,10.0,35.0,1.6,93.01513614730436,3.4270890223921304,0.24576734025122,0.71194507294998,0.3413435281267,5.0,0.0,0.0,0.5720554739805824,1.0,0.4279445260194175,1.0,0.0,0.0
24,Greene,28.7,75.7,18.0,102.5,120.9,83.0,29.9,21.0,20.0,32.0,11.0,39.0,0.6,93.29843218945292,3.20414428242517,0.0,0.29876110075649,0.41936191207104,6.7407407407407405,0.0,0.0,0.5874635165679652,1.0,0.4125364834320348,1.0,0.0,0.0
25,Mercer,28.6,69.7,17.2,75.4,124.9,95.0,39.1,112.4,26.0,33.0,8.0,35.0,3.2,90.71381391434956,6.07497353396248,0.1284846949393299,0.76005030809182,0.30221047964603,7.505376344086022,0.0,0.0,0.8166881270116909,1.0,0.0,0.0,0.0,0.0
26,Cameron,34.0,85.5,24.8,105.2,113.2,96.3,22.6,75.71931034482746,27.0,35.0,10.0,41.0,0.0,95.01329787234044,0.15514184397163,0.15514184397163,0.2437943262411299,0.0,9.0,0.0,0.0,0.5347082593397847,1.0,0.0,0.0,0.46529174066021534,1.0
27,Adams,29.5,75.6,14.3,59.8,122.0,98.1,42.0,34.1,17.0,39.0,14.0,32.0,0.7,92.80014031395248,1.59119919709238,0.15005797694563,0.70546737213403,2.24210003215528,3.627906976744186,0.3029812074524963,1.0,0.0,0.0,0.6970187925475037,1.0,0.0,0.0
28,Berks,29.7,80.3,20.2,75.4,115.4,98.7,44.1,86.6,17.0,45.0,7.0,34.0,2.1,80.0120268599873,5.235024888918581,0.34147691749669,1.45754088893767,6.63338599061714,6.030150753768845,0.1529240082929163,1.0,0.0,0.0,0.0,0.0,0.8470759917070837,1.0
29,Cambria,24.6,78.8,18.0,72.4,126.4,98.3,35.6,59.0,21.0,37.0,8.0,39.0,3.9,93.14646952002492,3.57720859198699,0.03039259636352,0.45360950072562,0.42017764472574,7.967213114754099,0.16324985401782144,1.0,0.0,0.0,0.0,0.0,0.8367501459821786,1.0
30,Sullivan,32.6,76.3,25.0,74.1,124.6,88.5,29.1,75.71931034482746,21.0,33.0,8.0,36.0,0.0,94.35243458098708,2.76581649552832,0.11593242795627,0.0662471016893,1.09307717787346,6.307124609144204,0.0,0.0,0.4667287040197877,1.0,0.0,0.0,0.5332712959802123,1.0
31,Bucks,35.1,76.1,5.3,31.9,88.8,128.9,60.8,46.1,13.0,44.0,7.0,28.0,1.4,85.6975343653014,3.89457483892758,0.0920868994436499,4.81432859409751,2.09139226470044,2.082595870206489,0.16869650457587398,1.0,0.0,0.0,0.831303495424126,1.0,0.0,0.0
32,Carbon,29.8,74.9,17.8,84.8,112.1,82.9,36.9,39.0,18.0,45.0,6.0,32.0,1.7,94.1982990432118,2.33881558376586,0.26577449815521,0.63160527796885,0.5299856169095101,6.583333333333333,0.0,0.0,0.8473432280268676,1.0,0.0,0.0,0.0,0.0
33,Lebanon,30.2,72.3,19.7,90.2,128.3,98.8,41.0,50.6,20.0,42.0,16.0,32.0,1.1,85.59789188804217,2.47275835054483,0.08617619827647,1.49134677017306,7.460294850794099,5.776315789473684,0.09032322057198627,1.0,0.0,0.0,0.9096767794280137,1.0,0.0,0.0
34,Franklin,26.6,77.5,20.7,100.0,127.1,97.2,42.4,52.1,17.0,39.0,14.0,32.0,2.2,91.60008776798276,4.07669372846134,0.19747796120138,0.74409179498431,0.96867457438981,5.180327868852459,0.0,0.0,0.7198566850764536,1.0,0.0,0.0,0.0,0.0
35,Huntingdon,32.8,75.2,15.8,79.5,121.0,82.3,29.8,44.2,19.0,37.0,7.0,34.0,1.3,91.2747812603832,5.5443570716579895,0.15062576143537,0.6202237235574201,0.52719016502381,6.6875,0.0,0.0,0.8029842636793617,1.0,0.0,0.0,0.0,0.0
36,Dauphin,30.4,71.6,22.0,88.7,103.5,99.1,49.9,232.6,20.0,42.0,16.0,32.0,4.1,68.56726254281394,19.51665818508613,0.35081260759877,4.76339999494714,2.7779883134647703,5.940828402366864,0.0,0.0,0.8979782223475609,1.0,0.0,0.0,0.0,0.0
37,Washington,29.2,80.0,11.9,58.2,107.7,112.5,45.3,40.5,20.0,32.0,11.0,39.0,2.5,92.98873387708193,3.27649567077616,0.02607675257507,0.97304919331083,0.41239901294662,5.9391891891891895,0.059990289846842466,1.0,0.0,0.0,0.9400097101531575,1.0,0.0,0.0
38,Fulton,31.4,77.3,23.6,103.4,122.8,87.3,27.4,22.9,17.0,39.0,14.0,32.0,1.4,96.1841015732818,1.3593706872757298,0.18630968810378,0.44162296439414,0.6486337289539,5.727272727272728,0.0,0.0,0.7829920245020223,1.0,0.0,0.0,0.0,0.0
39,Lancaster,27.8,61.8,13.2,82.5,126.1,118.6,54.4,50.1,13.0,32.0,18.0,34.0,1.5,87.55050179541479,4.06997514041064,0.08949452168308,2.29941994291501,2.75333763005248,4.603305785123967,0.0,0.0,0.5227648227832431,1.0,0.47723517721675696,1.0,0.0,0.0
40,Bradford,28.8,80.2,27.6,121.2,137.1,86.8,33.0,17.0,21.0,33.0,8.0,36.0,5.4,96.34558060638,0.67027881622502,0.07740320482205,0.6208725152747799,0.51382552988257,5.981132075471698,0.0,0.0,0.5698681222907139,1.0,0.0,0.0,0.430131877709286,1.0
41,Monroe,31.9,68.5,9.6,49.6,99.1,93.2,46.9,55.3,19.0,42.0,10.0,35.0,2.1,74.26076861109794,14.18577927308913,0.29083542624271,2.56776287731602,3.9259820878548,4.6923076923076925,0.0,0.0,0.8029858519144433,1.0,0.0,0.0,0.0,0.0
42,Montgomery,31.4,78.8,6.3,31.2,84.2,132.3,69.9,54.3,10.0,43.0,8.0,29.0,2.5,78.06124422737494,9.261103991876013,0.09828574191832,7.683938199666331,1.43233637176914,2.423387096774193,0.007172990518975017,1.0,0.0,0.0,0.992827009481025,1.0,0.0,0.0
43,Luzerne,35.1,68.7,22.1,79.9,99.9,93.9,42.8,60.0,24.0,45.0,11.0,29.0,2.5,86.01592835076383,5.16805386289273,0.1694237388481,1.20769523881504,4.1178156304421005,7.0,0.0,0.0,0.7501871642363905,1.0,0.0,0.0,0.0,0.0
44,Cumberland,27.7,71.6,9.1,53.4,103.7,111.7,50.0,55.4,18.0,39.0,16.0,30.0,1.5,86.82436865523864,4.06899760226174,0.10696377943989,4.64954450925892,1.1781921133100302,4.433333333333334,0.2917753289357211,1.0,0.0,0.0,0.7082246710642788,1.0,0.0,0.0
45,Armstrong,33.7,75.0,19.8,89.6,120.1,88.7,32.1,36.3,21.0,37.0,8.0,39.0,2.2,97.33000795642327,0.8660260725870599,0.0244813024052799,0.30754636146643,0.13311708182875,7.484848484848484,0.0,0.0,0.5711271282334331,1.0,0.0,0.0,0.4288728717665669,1.0
46,Beaver,33.7,79.6,15.4,69.6,108.4,103.1,40.6,101.3,21.0,40.0,8.0,34.0,1.7,89.72939841365206,5.92847476347394,0.09102991242922,0.46061135689187,0.38475309653418,6.663934426229508,0.0,0.0,0.6363323724947935,1.0,0.0,0.0,0.36366762750520654,1.0
47,Bedford,27.5,77.9,18.0,103.3,134.2,95.4,32.3,13.8,19.0,37.0,7.0,34.0,0.5,97.33770818623584,1.03210532873696,0.12875358225692,0.23881712837978,0.13498359430161,6.947368421052632,0.2517956224468858,1.0,0.0,0.0,0.0,0.0,0.7482043775531142,1.0
48,Clearfield,27.2,78.0,21.7,92.9,122.6,90.2,35.7,21.4,27.0,35.0,10.0,41.0,3.3,94.26421362595325,2.75337880351345,0.17365917499307,0.5058767271537501,0.41149674074446,8.048387096774194,0.21809798111778783,1.0,0.0,0.0,0.0,0.0,0.7819020188822121,1.0
49,Somerset,26.6,69.5,18.4,91.6,129.1,105.0,34.4,15.3,21.0,37.0,8.0,39.0,2.3,94.82151562753911,2.59736742321651,0.09073181301121,0.36698987053789,0.47668056984995,7.775862068965517,0.30213526264254054,1.0,0.0,0.0,0.0,0.0,0.6978647373574594,1.0
50,Lawrence,30.4,70.3,20.9,83.4,126.7,101.3,38.0,102.4,26.0,33.0,8.0,35.0,1.1,92.35849932674004,3.61470956957793,0.05339648047546,0.37493615638204,0.23796257603194,7.1866666666666665,0.0,0.0,0.7829544429811729,1.0,0.0,0.0,0.0,0.0
51,Chester,28.0,75.2,5.7,33.8,90.3,140.0,70.9,32.9,11.0,37.0,6.0,22.0,1.5,83.34840415341584,5.67090693130005,0.07414077167707,5.72742250660944,1.55254990612667,1.9698275862068968,0.0,0.0,0.0,0.0,0.6285255985621077,1.0,0.0,0.0
52,Crawford,28.1,65.1,19.0,90.7,125.9,91.7,36.9,31.3,26.0,33.0,8.0,35.0,2.7,95.16891177092884,1.4986952535439702,0.03996520676117,0.5183722406375599,0.49603874274161,7.461538461538462,0.0,0.0,0.8637413626053561,1.0,0.0,0.0,0.0,0.0
53,Fayette,32.1,79.5,27.9,105.1,113.5,83.5,34.0,54.4,20.0,32.0,11.0,39.0,1.5,92.1084332727175,4.0689332381895005,0.02838969070582,0.3928519362536299,0.46190794067321,7.752688172043011,0.0,0.0,0.46073890343977414,1.0,0.5392610965602258,1.0,0.0,0.0
54,Union,27.6,67.8,9.3,49.0,115.4,108.3,48.8,23.1,15.0,31.0,13.0,34.0,2.9,87.99491423345452,6.63603310209453,0.3122839106868,1.8380138743280297,1.51011576810689,4.666666666666667,0.32158848207043494,1.0,0.0,0.0,0.6784115179295651,1.0,0.0,0.0
55,Westmoreland,28.5,82.9,11.1,55.4,106.7,104.8,43.5,41.1,20.0,35.0,7.0,32.0,1.3,94.30574643164672,2.414733036422,0.05616984392196,1.03158627060748,0.22895626735705,6.164102564102564,0.09114002155242948,1.0,0.0,0.0,0.0,0.0,0.9088599784475705,1.0
56,Montour,25.0,71.9,11.1,83.4,109.0,123.3,56.3,36.5,15.0,31.0,13.0,34.0,30.3,93.0135328418968,2.01342281879194,0.11552426009461,3.55374628672021,0.38508086698206,5.333333333333333,0.3908205841446452,1.0,0.4218724923251523,1.0,0.0,0.0,0.0,0.0
57,Warren,33.4,74.3,21.5,115.9,139.2,92.4,33.2,9.3,27.0,35.0,10.0,41.0,2.6,96.49571783307152,0.59038159428368,0.12922515583033,0.41554755992499,0.14442811533978,7.977272727272727,0.0,0.0,0.7685790630605764,1.0,0.0,0.0,0.0,0.0
58,Butler,30.1,82.2,8.4,43.8,104.7,122.1,49.4,32.3,21.0,40.0,8.0,34.0,1.6,95.45682062641777,1.01119287745343,0.04792383305466,1.29767090171354,0.29233538163345,4.518867924528302,0.062309113109076844,1.0,0.0,0.0,0.0,0.0,0.9376908868909232,1.0
59,Northampton,32.7,78.2,10.5,46.3,93.7,102.6,49.3,118.7,18.0,45.0,6.0,32.0,1.1,83.39266286037346,5.9342674857757,0.1725651063493999,2.89284857329743,2.76564343775987,4.3017751479289945,0.0,0.0,0.4661869624394207,1.0,0.0,0.0,0.5338130375605794,1.0
60,Perry,24.0,65.2,20.8,98.9,125.2,105.5,47.9,28.2,18.0,39.0,16.0,30.0,0.0,96.41471397914724,0.94292588819283,0.21893221771833,0.34248802375739,0.4703791212364199,4.970588235294118,0.0,0.0,0.864273213855729,1.0,0.0,0.0,0.0,0.0
61,Jefferson,26.4,71.8,20.2,118.1,131.2,90.6,35.2,16.0,27.0,35.0,10.0,41.0,1.9,97.53270599036034,0.4728023869634999,0.05278861602019,0.25935276566444,0.26394308010098,7.727272727272727,0.27078177984806984,1.0,0.0,0.0,0.0,0.0,0.7292182201519302,1.0
62,Juniata,21.9,65.7,14.8,105.2,133.7,106.9,46.6,16.2,19.0,37.0,7.0,34.0,0.0,95.94435657217018,1.26130510605507,0.01216693028348,0.30417325708723,0.6489029484527701,6.0,0.21307865657322336,1.0,0.0,0.0,0.0,0.0,0.7869213434267767,1.0
63,Delaware,31.6,69.6,10.7,42.9,87.8,125.6,68.6,151.0,12.0,50.0,6.0,26.0,1.8,67.73253757110916,21.64584099849998,0.19563863810035,5.84952452381626,1.28297200916989,4.318681318681318,0.0,0.0,0.6177090434326067,1.0,0.0,0.0,0.0,0.0
64,Susquehanna,31.8,64.2,19.3,95.0,129.8,92.5,33.4,10.7,19.0,42.0,10.0,35.0,1.2,97.20717170722097,0.61077726332381,0.02216530391094,0.44330607821889,0.28322332775096,5.628571428571429,0.0,0.0,0.9527557262698721,1.0,0.0,0.0,0.0,0.0
65,Clinton,27.3,68.8,15.2,50.3,137.2,91.0,37.6,25.8,21.0,33.0,8.0,36.0,0.6,96.03621365015954,1.65763054813354,0.16861656592907,0.77823030428804,0.26459830345793,6.285714285714286,0.0,0.0,0.662520076896075,1.0,0.0,0.0,0.0,0.0
66,York,30.1,74.6,17.9,80.0,115.2,99.2,41.3,89.0,16.0,40.0,8.0,30.0,1.6,87.17640540806205,5.79454368359441,0.14185886495036,1.4760023948457202,1.66254121726076,5.6722689075630255,0.0,0.0,0.7251384552206117,1.0,0.0,0.0,0.0,0.0
