county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_lowbirth,perc_prenat_1tri,perc_preterm,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,admission_per_1000,Total_MetGoals,MetGoal_Reached
Clinton,38632.0,-1.5,19.5,27.3,6.8,68.8,8.8,82.9,52.5,15.2,50.3,137.2,91.0,37.6,8.6,777.6,231.3,25.8,21.0,33.0,8.0,36.0,89.0,0.6,27.9,19.0,2.0,1
Tioga,40591.0,-3.3,19.6,33.1,5.7,77.9,7.4,79.9,58.5,19.6,89.9,116.7,83.1,34.5,4.8,743.8,171.1,12.3,21.0,33.0,8.0,36.0,89.0,0.6,58.4,35.4,1.0,1
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Wyoming,26794.0,-5.2,19.4,32.4,7.4,71.2,10.6,76.9,56.8,16.3,83.4,108.6,95.1,37.2,6.0,885.1,155.2,,24.0,45.0,11.0,29.0,89.0,0.4,20.8,12.2,2.0,1
Potter,16526.0,-5.3,20.3,35.9,6.2,77.8,11.3,78.7,68.9,27.7,145.7,135.1,81.7,29.4,,764.6,178.2,,21.0,33.0,8.0,36.0,89.0,1.5,49.2,91.8,2.0,1
Bradford,60323.0,-3.7,21.8,28.8,6.3,80.2,8.6,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,267.0,3.0,1
Sullivan,6066.0,-5.6,10.4,32.6,6.9,76.3,8.2,77.2,58.3,25.0,74.1,124.6,88.5,29.1,,843.4,532.2,,21.0,33.0,8.0,36.0,89.0,0.0,,0.0,2.0,1
Cambria,130192.0,-9.4,19.1,24.6,8.8,78.8,10.2,78.3,57.9,18.0,72.4,126.4,98.3,35.6,6.8,881.9,258.2,59.0,21.0,37.0,8.0,39.0,89.0,3.9,45.7,136.0,1.0,1
Beaver,163929.0,-3.9,19.1,33.7,7.4,79.6,9.0,83.5,58.5,15.4,69.6,108.4,103.1,40.6,7.0,837.6,343.8,101.3,21.0,40.0,8.0,34.0,86.0,1.7,48.2,69.3,2.0,1
Bucks,628270.0,0.5,20.2,35.1,7.7,76.1,9.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0,44.0,7.0,28.0,89.0,1.4,65.3,77.1,3.0,1
Montour,18230.0,-0.2,20.2,25.0,7.6,71.9,10.4,91.1,68.8,11.1,83.4,109.0,123.3,56.3,8.5,746.2,400.1,36.5,15.0,31.0,13.0,34.0,83.0,30.3,71.3,1523.7,1.0,1
Tioga,40591.0,-3.3,19.6,33.1,5.7,77.9,7.4,79.9,58.5,19.6,89.9,116.7,83.1,34.5,4.8,743.8,171.1,12.3,21.0,33.0,8.0,36.0,89.0,0.6,58.4,35.4,1.0,1
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Union,44923.0,-0.1,17.7,27.6,5.5,67.8,7.2,90.3,51.6,9.3,49.0,115.4,108.3,48.8,10.6,577.9,173.5,23.1,15.0,31.0,13.0,34.0,83.0,2.9,36.0,125.6,3.0,1
Forest,7247.0,-6.1,10.2,36.8,9.0,78.1,8.2,79.1,50.6,,76.4,105.7,82.3,,,803.9,132.9,,27.0,35.0,10.0,41.0,86.0,0.0,,0.0,1.0,1
Armstrong,64735.0,-6.1,19.0,33.7,8.0,75.0,9.0,79.6,57.8,19.8,89.6,120.1,88.7,32.1,4.7,824.3,179.9,36.3,21.0,37.0,8.0,39.0,89.0,2.2,31.3,59.7,1.0,1
Bradford,60323.0,-3.7,21.8,28.8,6.3,80.2,8.6,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,267.0,3.0,1
Adams,103009.0,1.6,19.9,29.5,7.8,75.6,9.6,87.7,55.7,14.3,59.8,122.0,98.1,42.0,8.0,710.8,195.0,34.1,17.0,39.0,14.0,32.0,83.0,0.7,62.5,46.5,4.0,1
Bucks,628270.0,0.5,20.2,35.1,7.7,76.1,9.1,92.5,53.5,5.3,31.9,88.8,128.9,60.8,11.0,695.4,244.1,46.1,13.0,44.0,7.0,28.0,89.0,1.4,65.3,77.1,3.0,1
Northampton,305285.0,2.5,19.8,32.7,8.2,78.2,9.5,89.9,50.9,10.5,46.3,93.7,102.6,49.3,9.3,688.0,403.7,118.7,18.0,45.0,6.0,32.0,89.0,1.1,43.2,44.7,4.0,1
Northumberland,90843.0,-3.9,19.3,28.8,7.3,70.1,8.8,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,9.7,3.0,1
Beaver,163929.0,-3.9,19.1,33.7,7.4,79.6,9.0,83.5,58.5,15.4,69.6,108.4,103.1,40.6,7.0,837.6,343.8,101.3,21.0,40.0,8.0,34.0,86.0,1.7,48.2,69.3,2.0,1
Susquehanna,40328.0,-7.0,18.4,31.8,7.2,64.2,9.1,78.0,61.4,19.3,95.0,129.8,92.5,33.4,5.2,763.9,100.9,10.7,19.0,42.0,10.0,35.0,88.0,1.2,27.6,33.5,1.0,1
Venango,50668.0,-7.8,18.7,30.2,8.1,75.7,8.7,70.8,60.7,25.5,102.9,123.9,79.5,34.7,5.7,797.5,279.8,29.9,26.0,33.0,8.0,35.0,87.0,3.1,53.7,127.3,2.0,1
Somerset,73447.0,-5.5,17.7,26.6,7.3,69.5,8.9,82.8,62.3,18.4,91.6,129.1,105.0,34.4,6.9,802.2,126.2,15.3,21.0,37.0,8.0,39.0,89.0,2.3,25.6,53.9,1.0,1
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Venango,50668.0,-7.8,18.7,30.2,8.1,75.7,8.7,70.8,60.7,25.5,102.9,123.9,79.5,34.7,5.7,797.5,279.8,29.9,26.0,33.0,8.0,35.0,87.0,3.1,53.7,127.3,2.0,1
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
McKean,40625.0,-6.5,19.9,32.8,8.7,77.0,9.5,73.3,55.9,22.3,94.8,119.7,73.3,24.7,4.3,873.9,203.4,13.0,27.0,35.0,10.0,41.0,86.0,0.0,,0.0,2.0,1
Lycoming,113299.0,-2.4,20.3,32.5,8.5,78.9,10.4,81.7,57.9,18.1,77.4,108.4,89.7,35.2,6.8,791.8,380.3,49.0,21.0,33.0,8.0,36.0,89.0,2.3,65.2,110.7,1.0,1
Beaver,163929.0,-3.9,19.1,33.7,7.4,79.6,9.0,83.5,58.5,15.4,69.6,108.4,103.1,40.6,7.0,837.6,343.8,101.3,21.0,40.0,8.0,34.0,86.0,1.7,48.2,69.3,2.0,1
Lawrence,85512.0,-6.1,19.8,30.4,8.4,70.3,10.5,76.1,61.8,20.9,83.4,126.7,101.3,38.0,6.3,860.8,372.5,102.4,26.0,33.0,8.0,35.0,87.0,1.1,70.1,57.8,1.0,1
Centre,162385.0,5.5,14.7,24.7,6.1,76.6,7.4,92.0,31.7,2.8,13.7,65.1,93.5,49.4,9.6,572.7,476.6,38.9,15.0,31.0,13.0,34.0,83.0,1.6,50.2,82.1,6.0,1
Blair,121829.0,-4.1,20.2,25.4,6.8,79.4,8.0,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,172.9,3.0,1
Montour,18230.0,-0.2,20.2,25.0,7.6,71.9,10.4,91.1,68.8,11.1,83.4,109.0,123.3,56.3,8.5,746.2,400.1,36.5,15.0,31.0,13.0,34.0,83.0,30.3,71.3,1523.7,1.0,1
Wayne,51361.0,-2.8,16.2,32.3,7.4,79.0,9.2,83.4,56.1,12.9,63.4,109.6,99.9,48.2,10.7,791.1,148.2,10.4,19.0,42.0,10.0,35.0,88.0,1.6,41.3,62.1,2.0,1
Chester,524989.0,5.2,22.5,28.0,6.5,75.2,8.1,95.5,56.2,5.7,33.8,90.3,140.0,70.9,12.0,629.1,251.7,32.9,11.0,37.0,6.0,22.0,87.0,1.5,62.5,83.9,5.0,1
Montgomery,830915.0,3.9,21.4,31.4,7.3,78.8,8.3,95.2,57.1,6.3,31.2,84.2,132.3,69.9,12.9,657.2,293.6,54.3,10.0,43.0,8.0,29.0,87.0,2.5,59.7,125.7,5.0,1
Susquehanna,40328.0,-7.0,18.4,31.8,7.2,64.2,9.1,78.0,61.4,19.3,95.0,129.8,92.5,33.4,5.2,763.9,100.9,10.7,19.0,42.0,10.0,35.0,88.0,1.2,27.6,33.5,1.0,1
Sullivan,6066.0,-5.6,10.4,32.6,6.9,76.3,8.2,77.2,58.3,25.0,74.1,124.6,88.5,29.1,,843.4,532.2,,21.0,33.0,8.0,36.0,89.0,0.0,,0.0,2.0,1
Clearfield,79255.0,-2.9,18.0,27.2,8.5,78.0,8.4,76.8,60.2,21.7,92.9,122.6,90.2,35.7,4.2,801.6,177.9,21.4,27.0,35.0,10.0,41.0,86.0,3.3,58.5,148.3,2.0,1
Lehigh,369318.0,5.7,22.5,29.9,8.2,73.9,9.6,91.6,60.7,19.8,70.9,104.0,105.2,49.3,10.1,716.7,509.8,102.8,18.0,45.0,6.0,32.0,89.0,4.7,74.4,245.7,3.0,1
Fayette,129274.0,-5.4,18.9,32.1,8.9,79.5,10.2,72.3,61.1,27.9,105.1,113.5,83.5,34.0,5.0,914.8,336.4,54.4,20.0,32.0,11.0,39.0,87.0,1.5,49.9,63.7,1.0,1
Blair,121829.0,-4.1,20.2,25.4,6.8,79.4,8.0,80.4,58.5,20.8,90.4,108.7,89.9,32.9,6.4,850.8,314.6,57.6,19.0,37.0,7.0,34.0,88.0,3.4,63.0,172.9,3.0,1
Westmoreland,348899.0,-4.5,18.1,28.5,7.3,82.9,8.8,84.5,53.9,11.1,55.4,106.7,104.8,43.5,7.1,801.1,214.3,41.1,20.0,35.0,7.0,32.0,90.0,1.3,59.5,69.2,4.0,1
Northumberland,90843.0,-3.9,19.3,28.8,7.3,70.1,8.8,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,9.7,3.0,1
Berks,421164.0,2.4,22.3,29.7,8.2,80.3,9.8,91.6,60.5,20.2,75.4,115.4,98.7,44.1,9.7,729.8,486.7,86.6,17.0,45.0,7.0,34.0,83.0,2.1,62.6,98.8,2.0,1
Clinton,38632.0,-1.5,19.5,27.3,6.8,68.8,8.8,82.9,52.5,15.2,50.3,137.2,91.0,37.6,8.6,777.6,231.3,25.8,21.0,33.0,8.0,36.0,89.0,0.6,27.9,19.0,2.0,1
Susquehanna,40328.0,-7.0,18.4,31.8,7.2,64.2,9.1,78.0,61.4,19.3,95.0,129.8,92.5,33.4,5.2,763.9,100.9,10.7,19.0,42.0,10.0,35.0,88.0,1.2,27.6,33.5,1.0,1
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Fayette,129274.0,-5.4,18.9,32.1,8.9,79.5,10.2,72.3,61.1,27.9,105.1,113.5,83.5,34.0,5.0,914.8,336.4,54.4,20.0,32.0,11.0,39.0,87.0,1.5,49.9,63.7,1.0,1
Perry,46272.0,0.7,21.4,24.0,7.3,65.2,10.0,83.8,67.9,20.8,98.9,125.2,105.5,47.9,8.3,826.8,197.8,28.2,18.0,39.0,16.0,30.0,85.0,0.0,,0.0,2.0,1
Bradford,60323.0,-3.7,21.8,28.8,6.3,80.2,8.6,81.1,68.6,27.6,121.2,137.1,86.8,33.0,6.1,779.1,187.4,17.0,21.0,33.0,8.0,36.0,89.0,5.4,55.8,267.0,3.0,1
Cambria,130192.0,-9.4,19.1,24.6,8.8,78.8,10.2,78.3,57.9,18.0,72.4,126.4,98.3,35.6,6.8,881.9,258.2,59.0,21.0,37.0,8.0,39.0,89.0,3.9,45.7,136.0,1.0,1
Cameron,4447.0,-12.5,17.3,34.0,,85.5,6.9,65.8,60.0,24.8,105.2,113.2,96.3,22.6,,713.9,147.8,,27.0,35.0,10.0,41.0,86.0,0.0,,0.0,1.0,1
Northumberland,90843.0,-3.9,19.3,28.8,7.3,70.1,8.8,77.9,62.7,24.5,104.6,115.0,87.9,34.4,6.7,828.5,262.5,33.9,15.0,31.0,13.0,34.0,83.0,0.7,21.3,9.7,3.0,1
York,449058.0,3.2,21.9,30.1,8.4,74.6,9.9,88.6,60.3,17.9,80.0,115.2,99.2,41.3,7.8,741.6,371.1,89.0,16.0,40.0,8.0,30.0,88.0,1.6,79.8,87.0,1.0,1
Franklin,155027.0,3.6,22.1,26.6,7.1,77.5,9.7,88.0,65.7,20.7,100.0,127.1,97.2,42.4,8.4,718.1,285.5,52.1,17.0,39.0,14.0,32.0,83.0,2.2,42.4,86.3,2.0,1
Clinton,38632.0,-1.5,19.5,27.3,6.8,68.8,8.8,82.9,52.5,15.2,50.3,137.2,91.0,37.6,8.6,777.6,231.3,25.8,21.0,33.0,8.0,36.0,89.0,0.6,27.9,19.0,2.0,1
Perry,46272.0,0.7,21.4,24.0,7.3,65.2,10.0,83.8,67.9,20.8,98.9,125.2,105.5,47.9,8.3,826.8,197.8,28.2,18.0,39.0,16.0,30.0,85.0,0.0,,0.0,2.0,1
Columbia,64964.0,-3.5,17.1,28.1,8.6,75.0,10.0,81.9,41.1,9.1,33.0,102.8,89.4,36.8,6.8,776.3,368.7,29.0,15.0,31.0,13.0,34.0,83.0,2.6,22.7,45.9,3.0,1
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Cameron,4447.0,-12.5,17.3,34.0,,85.5,6.9,65.8,60.0,24.8,105.2,113.2,96.3,22.6,,713.9,147.8,,27.0,35.0,10.0,41.0,86.0,0.0,,0.0,1.0,1
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Northampton,305285.0,2.5,19.8,32.7,8.2,78.2,9.5,89.9,50.9,10.5,46.3,93.7,102.6,49.3,9.3,688.0,403.7,118.7,18.0,45.0,6.0,32.0,89.0,1.1,43.2,44.7,4.0,1
Wyoming,26794.0,-5.2,19.4,32.4,7.4,71.2,10.6,76.9,56.8,16.3,83.4,108.6,95.1,37.2,6.0,885.1,155.2,,24.0,45.0,11.0,29.0,89.0,0.4,20.8,12.2,2.0,1
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Wyoming,26794.0,-5.2,19.4,32.4,7.4,71.2,10.6,76.9,56.8,16.3,83.4,108.6,95.1,37.2,6.0,885.1,155.2,,24.0,45.0,11.0,29.0,89.0,0.4,20.8,12.2,2.0,1
Northampton,305285.0,2.5,19.8,32.7,8.2,78.2,9.5,89.9,50.9,10.5,46.3,93.7,102.6,49.3,9.3,688.0,403.7,118.7,18.0,45.0,6.0,32.0,89.0,1.1,43.2,44.7,4.0,1
Northampton,305285.0,2.5,19.8,32.7,8.2,78.2,9.5,89.9,50.9,10.5,46.3,93.7,102.6,49.3,9.3,688.0,403.7,118.7,18.0,45.0,6.0,32.0,89.0,1.1,43.2,44.7,4.0,1
Fayette,129274.0,-5.4,18.9,32.1,8.9,79.5,10.2,72.3,61.1,27.9,105.1,113.5,83.5,34.0,5.0,914.8,336.4,54.4,20.0,32.0,11.0,39.0,87.0,1.5,49.9,63.7,1.0,1
Somerset,73447.0,-5.5,17.7,26.6,7.3,69.5,8.9,82.8,62.3,18.4,91.6,129.1,105.0,34.4,6.9,802.2,126.2,15.3,21.0,37.0,8.0,39.0,89.0,2.3,25.6,53.9,1.0,1
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Cameron,4447.0,-12.5,17.3,34.0,,85.5,6.9,65.8,60.0,24.8,105.2,113.2,96.3,22.6,,713.9,147.8,,27.0,35.0,10.0,41.0,86.0,0.0,,0.0,1.0,1
Columbia,64964.0,-3.5,17.1,28.1,8.6,75.0,10.0,81.9,41.1,9.1,33.0,102.8,89.4,36.8,6.8,776.3,368.7,29.0,15.0,31.0,13.0,34.0,83.0,2.6,22.7,45.9,3.0,1
Tioga,40591.0,-3.3,19.6,33.1,5.7,77.9,7.4,79.9,58.5,19.6,89.9,116.7,83.1,34.5,4.8,743.8,171.1,12.3,21.0,33.0,8.0,36.0,89.0,0.6,58.4,35.4,1.0,1
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Lycoming,113299.0,-2.4,20.3,32.5,8.5,78.9,10.4,81.7,57.9,18.1,77.4,108.4,89.7,35.2,6.8,791.8,380.3,49.0,21.0,33.0,8.0,36.0,89.0,2.3,65.2,110.7,1.0,1
