county_name,population,pop_change_2010,perc_under_18,perc_csec,perc_lowbirth,perc_prenat_1tri,perc_preterm,perc_non_smoke,fert_15_44,birth_rate_15_19,birth_rate_20_24,birth_rate_25_29,birth_rate_30_34,birth_date_35_39,birth_rate_40_44,all_cause_death,chlam_per_100000,gono_per_100000,perc_smoker,hiv_tested,perc_no_healthins,perc_obese,perc_routine_checkup,beds_per_1000,inpatient_occupancy_rate,admission_per_1000,Total_MetGoals,MetGoal_Reached
Luzerne,317417.0,-1.1,19.8,35.1,8.2,68.7,10.3,83.6,58.6,22.1,79.9,99.9,93.9,42.8,9.1,865.2,391.1,60.0,24.0,45.0,11.0,29.0,89.0,2.5,53.7,108.3,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Dauphin,278299.0,3.8,22.3,30.4,9.5,71.6,10.3,88.4,64.7,22.0,88.7,103.5,99.1,49.9,10.3,747.1,646.4,232.6,20.0,42.0,16.0,32.0,87.0,4.1,77.3,223.0,0.0,0
Fulton,14530.0,-2.1,19.5,31.4,8.5,77.3,10.8,83.4,59.8,23.6,103.4,122.8,87.3,27.4,6.9,804.1,158.1,22.9,17.0,39.0,14.0,32.0,83.0,1.4,30.2,39.8,0.0,0
Luzerne,317417.0,-1.1,19.8,35.1,8.2,68.7,10.3,83.6,58.6,22.1,79.9,99.9,93.9,42.8,9.1,865.2,391.1,60.0,24.0,45.0,11.0,29.0,89.0,2.5,53.7,108.3,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Dauphin,278299.0,3.8,22.3,30.4,9.5,71.6,10.3,88.4,64.7,22.0,88.7,103.5,99.1,49.9,10.3,747.1,646.4,232.6,20.0,42.0,16.0,32.0,87.0,4.1,77.3,223.0,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0.0,0
Luzerne,317417.0,-1.1,19.8,35.1,8.2,68.7,10.3,83.6,58.6,22.1,79.9,99.9,93.9,42.8,9.1,865.2,391.1,60.0,24.0,45.0,11.0,29.0,89.0,2.5,53.7,108.3,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Fulton,14530.0,-2.1,19.5,31.4,8.5,77.3,10.8,83.4,59.8,23.6,103.4,122.8,87.3,27.4,6.9,804.1,158.1,22.9,17.0,39.0,14.0,32.0,83.0,1.4,30.2,39.8,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Fulton,14530.0,-2.1,19.5,31.4,8.5,77.3,10.8,83.4,59.8,23.6,103.4,122.8,87.3,27.4,6.9,804.1,158.1,22.9,17.0,39.0,14.0,32.0,83.0,1.4,30.2,39.8,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Fulton,14530.0,-2.1,19.5,31.4,8.5,77.3,10.8,83.4,59.8,23.6,103.4,122.8,87.3,27.4,6.9,804.1,158.1,22.9,17.0,39.0,14.0,32.0,83.0,1.4,30.2,39.8,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Luzerne,317417.0,-1.1,19.8,35.1,8.2,68.7,10.3,83.6,58.6,22.1,79.9,99.9,93.9,42.8,9.1,865.2,391.1,60.0,24.0,45.0,11.0,29.0,89.0,2.5,53.7,108.3,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Philadelphia,1584064.0,3.8,21.6,29.0,11.0,61.0,10.8,93.7,58.1,26.4,73.9,72.1,83.3,52.4,13.1,854.4,1299.4,454.0,21.0,67.0,12.0,34.0,88.0,2.8,77.8,141.1,0.0,0
Dauphin,278299.0,3.8,22.3,30.4,9.5,71.6,10.3,88.4,64.7,22.0,88.7,103.5,99.1,49.9,10.3,747.1,646.4,232.6,20.0,42.0,16.0,32.0,87.0,4.1,77.3,223.0,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Warren,39191.0,-6.3,19.1,33.4,7.5,74.3,10.4,77.7,66.6,21.5,115.9,139.2,92.4,33.2,4.7,770.2,151.2,9.3,27.0,35.0,10.0,41.0,86.0,2.6,11.9,82.6,0.0,0
Lackawanna,209674.0,-2.2,20.6,35.2,8.5,75.1,11.3,81.9,55.3,16.9,60.6,92.2,98.3,49.4,9.6,848.0,256.5,46.6,24.0,45.0,11.0,29.0,89.0,3.1,54.6,131.2,0.0,0
Pike,55809.0,-2.7,17.2,33.2,8.1,68.1,9.5,85.3,48.3,9.6,48.3,105.2,102.7,42.2,8.4,637.0,163.1,25.7,19.0,42.0,10.0,35.0,88.0,0.0,,0.0,0.0,0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0.0,0
Carbon,64182.0,-1.6,19.2,29.8,8.4,74.9,9.4,79.0,56.1,17.8,84.8,112.1,82.9,36.9,7.2,854.6,173.7,39.0,18.0,45.0,6.0,32.0,89.0,1.7,56.9,57.8,0.0,0
Luzerne,317417.0,-1.1,19.8,35.1,8.2,68.7,10.3,83.6,58.6,22.1,79.9,99.9,93.9,42.8,9.1,865.2,391.1,60.0,24.0,45.0,11.0,29.0,89.0,2.5,53.7,108.3,0.0,0
Dauphin,278299.0,3.8,22.3,30.4,9.5,71.6,10.3,88.4,64.7,22.0,88.7,103.5,99.1,49.9,10.3,747.1,646.4,232.6,20.0,42.0,16.0,32.0,87.0,4.1,77.3,223.0,0.0,0
Monroe,170271.0,0.3,19.6,31.9,9.3,68.5,10.4,87.8,48.1,9.6,49.6,99.1,93.2,46.9,10.0,753.8,361.1,55.3,19.0,42.0,10.0,35.0,88.0,2.1,50.8,92.5,0.0,0
